_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
1,NA,2014,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,25-34,2,1,null
2,NA,2014,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,55-64,1,2,null
3,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18-24,1,3,null
4,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25-34,5,4,null
5,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35-44,3,5,null
6,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45-54,1,6,null
7,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,55-64,1,7,null
8,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Unknown,Unknown,55,8,null
9,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18-24,2,9,null
10,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25-34,21,10,null
11,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35-44,19,11,null
12,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45-54,14,12,null
13,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55-64,1,13,null
14,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Unknown,Unknown,283,14,null
15,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25-34,1,15,null
16,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35-44,1,16,null
17,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Unknown,Unknown,3,17,null
18,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25-34,4,18,null
19,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35-44,2,19,null
20,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45-54,1,20,null
21,NA,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Unknown,Unknown,23,21,null
22,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18-24,1,22,null
23,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25-34,22,23,null
24,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35-44,4,24,null
25,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45-54,1,25,null
26,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Unknown,Unknown,13,26,null
27,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18-24,33,27,null
28,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25-34,84,28,null
29,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35-44,35,29,null
30,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45-54,14,30,null
31,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55-64,5,31,null
32,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,1,32,null
33,NA,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Unknown,Unknown,86,33,null
34,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,18-24,1460,34,null
35,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,25-34,1907,35,null
36,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,35-44,1277,36,null
37,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,45-54,920,37,null
38,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,55-64,388,38,null
39,NA,2014,Crimes Against the Person,Assault,Other,F,Adult,65+,287,39,null
40,NA,2014,Crimes Against the Person,Assault,Other,F,Child,<12,325,40,null
41,NA,2014,Crimes Against the Person,Assault,Other,F,Unknown,Unknown,94,41,null
42,NA,2014,Crimes Against the Person,Assault,Other,F,Youth,12-17,525,42,null
